ten_thuy_dien,cong_xuat,san_luong,nam_khoi_cong,nam_hoat_dong,vi_do,kinh_do,tren_song,vi_tri_hanh_chinh,tinh_trang,qui_mo,loai,dung_tich,luu_vuc,chu_dau_tu,loai_hinh,von_dau_tu
Hủa Na,180,717,7/2/1905,7/5/1905,19.838131,105.084581,Sông Chu,xã Đồng Văn huyện Quế Phong tỉnh Nghệ An,Đang vận hành,Lớn,Có hồ chứa,5330,Chu,Công ty cổ phần thủy điện Hủa Na,Cổ phần,7065
Bản Vẽ,320,1084,6/26/1905,7/2/1905,19.340428,104.487347,Sông Lam,xã Yên Na huyện Tương Dương tỉnh Nghệ An,,,,,,,,
Khe Bố,100,442.8,6/29/1905,7/5/1905,19.191111,104.658611,Sông Lam,xã Tam Quang huyện Tương Dương tỉnh Nghệ An,,,,,,,,
Trung Sơn,260,1018,7/4/1905,7/8/1905,20.610103,104.837458,Sông Mã,xã Trung Sơn huyện Quan Hóa tỉnh Thanh Hóa,Đang xây dựng,Lớn,Có hồ chứa,348.5,Mã,Công ty TNHH MTV thủy điện Trung Sơn,Trách nhiệm hữu hạn,7775
Hồi Xuân,102,432,3/1/2010,7/12/1905,20.446374,105.051508,Sông Mã,"xã Hồi Xuân và Thanh Xuân, huyện Quan Hóa tỉnh Thanh Hóa",Đang xây dựng,Lớn,Có hồ chứa,63.65,Mã,Công ty cổ phần Công ty cổ phần Đầu tư và Xây dựng điện Hồi Xuân,Cổ phần,3320
A Lưới,170,690,6/29/1905,7/4/1905,16.230079,107.270151,A Sáp,xã Hồng Hạ huyện A Lưới tỉnh Thừa Thiên - Huế,Đang vận hành,Lớn,Có hồ chứa,60.2,A Sáp,Công ty cổ phần Thủy điện Miền Trung,Cổ phần,3234
A Vương,210,815,8/1/2003,12/1/2008,15.799811,107.617092,A Vương,xã Mà Cooih huyện Đông Giang tỉnh Quảng Nam,Đang vận hành,Lớn,Có hồ chứa,343.55,A Vương,Công ty CP thủy điện A Vương,Cổ phần,3800
Sông Bung 2,100,420,7/4/1905,7/9/1905,15.700021,107.486534,Sông Bung,xã Zuôih và xã La Dêê huyện Nam Giang tỉnh Quảng Nam,,,,,,,,
Sông Bung 4,156,586,7/28/1900,7/7/1905,15.725833,107.651175,Sông Bung,xã Zuôih và Tà Pơơ huyện Nam Giang tỉnh Quảng Nam,Đang vận hành,Lớn,Có hồ chứa,510,Bung,EVN,Nhà nước,5458
Đăk Mi 4,190,752,6/29/1905,7/4/1905,15.458986,107.912358,Đăk Mi,xã Phước Hiệp huyện Phước Sơn tỉnh Quảng Nam,Đang vận hành,Lớn,Có hồ chứa,312,Đăk Mi,Tổng công ty Đầu tư phát triển đô thị và khu công nghiệp Việt Nam ,Nhà nước,4547
Sông Tranh 2,190,680,6/28/1905,7/2/1905,15.331214,108.147781,Thu Bồn,xã Trà Tân huyện Bắc Trà My tỉnh Quảng Nam,Đang vận hành,Lớn,Có hồ chứa,733.4,Thu Bồn,EVN,Nhà nước,4150
An Khê - Kanak,173,700,11/1/2005,7/1/1905,14.014833,108.679575,Sông Ba,"huyện K'Bang và Tx. An Khê, tỉnh Gia Lai, huyện Tây Sơn tỉnh Bình Định",Đang vận hành,Lớn,Có hồ chứa,329.6, Ba,Cty Thủy điện An Khê - Ka Nak,Nhà nước,5616
Sông Ba Hạ,220,835,4/1/2004,11/1/2009,13.022625,108.903872,Sông Ba,xã Đức Bình Tây huyện Sông Hinh và xã Suối Trai huyện Sơn Hòa tỉnh Phú Yên,Đang vận hành,Lớn,Có hồ chứa,395, Ba,Công ty Cổ phần Sông Ba Hạ,Cổ phần,4275
Plei Krông,100,417,11/1/2003,5/1/2009,14.408347,107.863044,Pô Kô,xã Sa Bình huyện Sa Thầy và xã Kroong Tp. Kon Tum tỉnh Kon Tum,,,,,,,,
Ialy,720,3680,6/15/1905,6/24/1905,14.227369,107.829361,Sê San,Tt. Ia Ly huyện Chư Păh tỉnh Gia Lai,Đang vận hành,Lớn,Có hồ chứa,1037, Sê San,Công ty thủy điện Ialy (thuộc EVN),Nhà nước,8300
Sê San 3,260,221,6/24/1905,6/28/1905,14.215164,107.722164,Sê San,huyện Chư Păh tỉnh Gia Lai,Đang vận hành,Lớn,Có hồ chứa,92, Sê San,Công ty thủy điện Ialy (thuộc EVN),Nhà nước,4000
Sê San 3A,108,479,4/1/2003,6/1/2007,14.106311,107.657672,Sê San,"xã Mô Rai huyện Sa Thầy tỉnh Kon Tum và xã Ia Krai huyện Ia Grai tỉnh Gia 
Lai",Đang vận hành,Lớn,Có hồ chứa,80.6, Sê San,Công ty cổ phần thủy điện thuỷ điện Sê San 3A,Cổ phần,1945
Sê San 4,360,1042,6/26/1905,7/1/1905,13.967831,107.495328,Sê San,xã Mô Rai huyện Sa Thầy tỉnh Kon Tum & xã Ia O huyện Ia Grai tỉnh Gia Lai,Đang vận hành,Lớn,Có hồ chứa,893.3, Sê San,Công ty phát triển thủy điện sê san,Nhà nước,5800
Buôn Kuốp,280,1105,6/25/1905,7/3/1905,12.530467,107.924325,Sêrêpôk,"xã Nam Đà huyện Krông Nô, tỉnh Đăk Nông & xã Dray Sáp huyện Krông Ana tỉnh Đắk 
Lắk",Đang vận hành,Lớn,Có hồ chứa,63.24, Srêpôk,Tập đoàn Điện lực Việt Nam (EVN),Nhà nước,4616
Sêrêpôk 3,220,1060,6/27/1905,7/1/1905,12.752433,107.876758,Sêrêpôk,"xã Ea Nuôl và Tân Hòa huyện Buôn Đôn tỉnh Đăk Lăk và xã Ea Pô huyện Cư Jút 
tỉnh Đăk Nông",,,,,,,,
Thượng Kon Tum,220,1094,9/1/2009,3/1/2020,14.694139,108.229889,Đăk Snghé,xã Đăk Kôi huyện Kon Rẫy và xã Đăk Tăng huyện Kon Plông tỉnh Kon Tum,Đang vận hành,Lớn,Có hồ chứa,145.52,Đắk Snghé ,Công ty Cổ phần thủy điện Vĩnh Sơn-Sông Hinh,Cổ phần,5744
Đăk Đrinh,125,520,2/1/2008,7/6/1905,14.978447,108.301314,Đăk Đrinh,xã Sơn Dung và Sơn Mùa huyện Sơn Tây tỉnh Quảng Ngãi,,,,,,,,
Thác Mơ (*),225,662,6/13/1905,7/9/1905,11.857767,107.019253,Sông Bé,xã Đức Hạnh huyện Bù Gia Mập tỉnh Bình Phước,,,,,,,,
Đa Nhim,160,1000,5/15/1905,5/17/1905,11.852897,108.605836,Đa Nhim,"Tt. D'Ran huyện Đơn Dương tỉnh Lâm Đồng và xã Lâm Sơn huyện Ninh Sơn tỉnh Ninh 
Thuận",Đang vận hành,Lớn,Có hồ chứa,165, Đa Nhim,Công ty CP Thuỷ điện Đa Nhim - Hàm Thuận - Đa Mi,Cổ phần,0
Đại Ninh,300,1178,6/25/1905,6/30/1905,11.649864,108.320239,Đa Nhim,huyện Đức Trọng tỉnh Lâm Đồng & huyện Bắc Bình tỉnh ‎Bình Thuận,,,,,,,,
Đồng Nai 3,180,607,6/26/1905,7/3/1905,11.872225,107.888656,Đồng Nai,"xã Đắk Plao huyện Đắk Glong tỉnh Đăk Nông và xã Lộc Lâm huyện Bảo Lâm, tỉnh Lâm 
Đồng",Đang vận hành,Lớn,Có hồ chứa,1423.6, Đồng Nai,Tập đoàn Điện lực Việt Nam (EVN),Nhà nước,5100
Đồng Nai 4,340,1100,6/26/1905,7/4/1905,11.885128,107.728639,Đồng Nai,"Tt. Quảng Khê huyện Đăk GLong tỉnh Đăk Nông và xã Lộc Bảo huyện Bảo Lâm 
tỉnh Lâm Đồng",Đang vận hành,Lớn,Có hồ chứa,337.2, Đồng Nai,EVN,Cổ phần,4700
Đồng Nai 5,150,616,7/4/1905,7/7/1905,11.792692,107.553364,Đồng Nai,"xã Đắk Sin huyện Đăk R'Lấp tỉnh Đăk Nông và xã Lộc Bắc huyện Bảo Lâm tỉnh Lâm 
Đồng",,,,,,,,
Trị An,400,1700,6/6/1905,6/13/1905,11.104786,106.984822,Đồng Nai,huyện Vĩnh Cửu tỉnh Đồng Nai,Đang vận hành,Lớn,Có hồ chứa,2765, Đồng Nai,Công ty thủy điện Trị An (thuộc EVN),Nhà nước,0
Hàm Thuận - Đa Mi,475,1555,6/19/1905,6/23/1905,11.335956,107.934956,La Ngà,"xã La Ngâu huyện Tánh Linh và
La Dạ huyện Hàm Thuận Bắc tỉnh ‎Bình Thuận",Đang vận hành,Lớn,Có hồ chứa,836,La Ngà,Công ty Thủy điện Đa Nhim – Hàm Thuận – Đa Mi,Nhà nước,0
Đăk R’Tih,144,637,6/29/1905,7/3/1905,11.966420,107.657365,Đăk R’tih,Tx. Gia Nghĩa và xã Nhân Cơ huyện Đăk R’lấp tỉnh Đăk Nông,,,,,,,,
Sông Bạc,42,166.2,7/2/1905,7/6/1905,22.451030,104.721281,Sông Bạc,xã Tân Trịnh huyện Quang Bình tỉnh Hà Giang,,,,,,,,
Xuân Minh HG,5,,,,22.484501,104.736918,Sông Bạc,xã Xuân Minh huyện Quang Bình tỉnh Hà Giang,,,,,,,,
Bắc Nà,17,70,7/6/1905,7/8/1905,22.504828,104.336110,Bắc Nà,xã Thải Giàng Phố và Bản Liền huyện Bắc Hà tỉnh Lào Cai,,,,,,,,
Sông Chảy 3,14,,7/9/1905,7/3/1905,22.73944,104.63000,Sông Chảy,xã Tụ Nhân & Pờ Ly Ngài huyện Hoàng Su Phì tỉnh Hà Giang,,,,,,,,
Sông Chảy 5,16,62,7/2/1905,7/4/1905,22.714756,104.534950,Sông Chảy,xã Thèn Phàng và Ngán Chiên huyện Xín Mần tỉnh Hà Giang,,,,,,,,
Sông Chảy 6,16,,2/1/2017,2/1/2019,22.691463,104.462924,Sông Chảy,Tt. Cốc Pài và xã Thèn Phàng huyện Xín Mần tỉnh Hà Giang,,,,,,,,
Pa Ke,26,96.4,7/8/1905,7/10/1905,22.687620,104.336418,Sông Chảy,"xã Lùng Sui huyện Si Ma Cai tỉnh Lào Cai & xã Pà Vầy Sủ huyện Xín Mần tỉnh Hà 
Giang",,,,,,,,
"Bắc Hà
(Cốc Ly)",90,378,6/27/1905,7/4/1905,22.508545,104.197144,Sông Chảy,xã Cốc Ly huyện Bắc Hà tỉnh Lào Cai,,,,,,,,
Vĩnh Hà,21,89,7/5/1905,7/8/1905,22.303611,104.453333,Sông Chảy,xã Tân Dương & Thượng Hà huyện Bảo Yên tỉnh Lào Cai,,,,,,,,
Sông Chừng,19.5,70,6/30/1905,7/3/1905,22.429486,104.633070,Sông Con,Tt. Yên Bình huyện Quang Bình tỉnh Hà Giang[2],,,,,,,,
Bảo Lạc A,30,170,7/12/1905,7/14/1905,22.961208,105.775194,Sông Gâm,xã Cô Ba huyện Bảo Lạc tỉnh Cao Bằng,,,,,,,,
Bảo Lạc B,18,35.3,7/9/1905,6/1/2020,22.946887,105.595266,Sông Gâm,xã Bảo Toàn huyện Bảo Lạc tỉnh Cao Bằng,,,,,,,,
Bảo Lâm 1,30,124,11/1/2014,12/1/2016,22.942286,105.548844,Sông Gâm,xã Lý Bôn huyện Bảo Lâm tỉnh Cao Bằng,,,,,,,,
Mông Ân,30,110,7/9/1905,7/11/1905,22.855687,105.485566,Sông Gâm,Tt. Pác Miầu và xã Nam Quang huyện Bảo Lâm tỉnh Cao Bằng,,,,,,,,
Bắc Mê,45,197,7/6/1905,7/9/1905,22.757626,105.429388,Sông Gâm,xã Yên Phong & Phú Nam huyện Bắc Mê tỉnh Hà Giang,,,,,,,,
Chiêm Hóa,48,198.6,7/1/1905,7/5/1905,22.198333,105.328056,Sông Gâm,xã Ngọc Hội huyện Chiêm Hóa tỉnh Tuyên Quang,,,,,,,,
Yên Sơn,90,296,7/5/1905,7/12/1905,21.996966,105.216218,Sông Gâm,xã Quý Quân huyện Yên Sơn tỉnh Tuyên Quang[3],,,,,,,,
Nậm Lang,12,42,7/9/1905,,22.962039,105.265238,Nậm Lang,xã Ngọc Long huyện Yên Minh tỉnh Hà Giang[4],,,,,,,,
Phong Quang,18,63.2,7/9/1905,,22.838338,104.973367,Sông Lô,p. Quang Trung Tp. Hà Giang[4],,,,,,,,
Sông Lô 2,28,117,10/1/2015,7/10/1905,22.724898,104.972595,Sông Lô,xã Đạo Đức và Trung Thành huyện Vị Xuyên tỉnh Hà Giang,,,,,,,,
Sông Lô 3,18,,7/3/1905,,22.661130,104.993551,Sông Lô,Tt. Vị Xuyên và xã Ngọc Linh huyện Vị Xuyên tỉnh Hà Giang,,,,,,,,
Sông Lô 4,24,80,7/7/1905,7/9/1905,22.544846,104.911361,Sông Lô,xã Tân Thành huyện Bắc Quang tỉnh Hà Giang,,,,,,,,
Sông Lô 5,29.7,115.8,7/12/1905,,,,Sông Lô,xã Quang Minh & Kim Ngọc huyện Bắc Quang tỉnh Hà Giang,,,,,,,,
Sông Lô 6,48,187.2,9/1/2015,6/1/2020,22.296175,104.917122,Sông Lô,"xã Vĩnh Hảo huyện Bắc Quang tỉnh Hà Giang và xã Yên Thuận huyện Hàm Yên 
tỉnh Tuyên Quang[5].",,,,,,,,
Sông Lô 8A,27,106.6,7/10/1905,6/1/2020,22.064808,105.056380,Sông Lô,Tt. Tân Yên và xã Tân Thành huyện Hàm Yên tỉnh Tuyên Quang,,,,,,,,
Sông Lô 8B,27,109.1,7/10/1905,11/1/2020,21.906929,105.174717,Sông Lô,xã Thắng Quân & Phúc Ninh huyện Yên Sơn tỉnh Tuyên Quang,,,,,,,,
Nậm Lúc,24,100,7/1/1905,,21.341211,104.349800,Nậm Lúc,xã Nậm Lúc và Cốc Lầu huyện Bắc Hà tỉnh Lào Cai,,,,,,,,
Nậm Ly,5.1,22.6,2/1/2009,10/1/2017,22.556391,104.569684,Nậm Ly,xã Quảng Nguyên huyện Xín Mần tỉnh Hà Giang,,,,,,,,
Nậm Mạ,18,72,7/7/1905,7/10/1905,22.895660,105.078150,Nậm Mạ,xã Tùng Bá huyện Vị Xuyên tỉnh Hà Giang[6],,,,,,,,
Sông Miện 1,6,25,4/1/2009,10/1/2011,23.156976,105.017348,Sông Miện,xã Bát Đại Sơn huyện Quản Bạ và xã Na Khê huyện Yên Minh tỉnh Hà Giang,,,,,,,,
Thái An,82,400,6/30/1905,9/1/2010,22.998902,105.065431,Sông Miện,xã Thái An huyện Quản Bạ tỉnh Hà Giang[7].,,,,,,,,
Thuận Hòa,38,160,7/6/1905,6/1/2017,22.960782,105.033318,Sông Miện,xã Thuận Hòa huyện Vị Xuyên tỉnh Hà Giang[8],,,,,,,,
Sông Miện 5,16.5,,,7/4/1905,22.923324,105.006382,Sông Miện,xã Thuận Hòa huyện Vị Xuyên tỉnh Hà Giang,,,,,,,,
Sông Miện 5A,9,35,3/1/2011,3/1/2015,22.893316,104.992250,Sông Miện,xã Thuận Hòa huyện Vị Xuyên tỉnh Hà Giang[9],,,,,,,,
Sông Miện 6,12,,,3/1/2017,22.848615,105.013571,Sông Miện,p. Quang Trung Tp. Hà Giang,,,,,,,,
Nậm Mu,12,56,6/24/1905,6/26/1905,22.549631,104.876750,Nậm Mu,xã Tân Thành huyện Bắc Quang tỉnh Hà Giang,,,,,,,,
Nậm Ngần,13.5,,6/27/1905,7/1/1905,22.612182,104.893062,Nậm Ngần,xã Thượng Sơn & Quảng Ngần huyện Vị Xuyên tỉnh Hà Giang,,,,,,,,
Sông Nhiệm 3,10,,9/1/2019,11/1/2021,23.041350,105.406101,Sông Nhiệm,xã Niêm Sơn huyện Mèo Vạc tỉnh Hà Giang,,,,,,,,
Sông Nhiệm 4,6,,6/1/2018,11/1/2021,23.011508,105.474624,Sông Nhiệm,xã Niêm Tòng huyện Mèo Vạc tỉnh Hà Giang,,,,,,,,
Nho Quế 1,32,129,7/5/1905,7/9/1905,23.231101,105.427198,Nho Quế,xã Giàng Chu Phìn và Xín Cái huyện Mèo Vạc tỉnh Hà Giang,,,,,,,,
Nho Quế 2,48,225,8/1/2012,8/1/2016,23.181384,105.477844,Nho Quế,xã Giàng Chu Phìn và Xín Cái huyện Mèo Vạc tỉnh Hà Giang,,,,,,,,
Bảo Lâm 3,46,192.2,7/1/2015,6/1/2018,23.013075,105.486747,Nho Quế,"xã Đức Hạnh huyện Bảo Lâm tỉnh Cao Bằng và xã Niêm Tòng huyện Mèo Vạc tỉnh Hà 
Giang[10]",,,,,,,,
Bảo Lâm 3A,8,33.4,2/1/2016,6/1/2018,,,Nho Quế,xã Đức Hạnh và Lý Bôn huyện Bảo Lâm tỉnh Cao Bằng,,,,,,,,
Nậm Khánh,12,48.9,6/29/1905,7/4/1905,22.487111,104.366694,Nậm Phàng,xã Nậm Khánh và Bản Liền huyện Bắc Hà tỉnh Lào Cai,,,,,,,,
Nậm Phàng,36,146,6/30/1905,7/4/1905,22.415660,104.318392,Nậm Phàng,xã Nậm Đét và Nậm Khánh huyện Bắc Hà tỉnh Lào Cai[11],,,,,,,,
Thác Xăng,16,65.3,6/30/1905,7/8/1905,22.171324,106.498572,Bắc Giang,xã Hùng Việt huyện Tràng Định tỉnh Lạng Sơn[12],,,,,,,,
Thân Giáp,6,,5/1/2016,12/1/2018,22.734180,106.547782,Bắc Vọng,xã Đoài Dương huyện Trùng Khánh tỉnh Cao Bằng,,,,,,,,
Nà Lòa,6,30,,6/28/1905,22.684633,106.599022,Bắc Vọng,xã Bế Văn Đàn huyện Phục Hòa tỉnh Cao Bằng,,,,,,,,
Nà Tẩu,6,18.5,7/5/1905,1/1/2014,22.672175,106.504972,Bắc Vọng,xã Cai Bộ huyện Quảng Hòa tỉnh Cao Bằng,,,,,,,,
Tiên Thành,16.5,49,7/1/1905,7/11/1905,22.570529,106.433418,Sông Bằng,xã Tiên Thành huyện Phục Hòa tỉnh Cao Bằng[13],,,,,,,,
Hòa Thuận,17.4,,9/1/2009,7/10/1905,22.542830,106.494385,Sông Bằng,Tt. Hòa Thuận huyện Quảng Hòatỉnh Cao Bằng,,,,,,,,
Bình Long,6.5,20.9,7/12/1905,7/13/1905,22.734798,106.122213,Dẻ Rào,xã Bình Long huyện Hòa An tỉnh Cao Bằng,,,,,,,,
Hoa Thám,5.8,23.3,6/29/1905,9/1/2018,22.619159,106.100172,Sông Hiến,xã Hoa Thám huyện Nguyên Bình tỉnh Cao Bằng[14],,,,,,,,
Bạch Đằng,5,17,7/9/1905,7/12/1905,22.597833,106.163859,Sông Hiến,xã Bạch Đằng huyện Hòa An tỉnh Cao Bằng[15],,,,,,,,
Pác Cáp,6,,4/1/2019,7/12/1905,22.212974,106.130434,Na Rì,xã Lương Thành và Văn Minh huyện Na Rì tỉnh Bắc Kạn[16],,,,,,,,
Bản Rạ,18,70,6/29/1905,7/4/1905,22.858950,106.699769,Quây Sơn,xã Đàm Thủy huyện Trùng Khánh tỉnh Cao Bằng,,,,,,,,
Sử Pán 1,30,125,7/8/1905,7/11/1905,22.290999,103.915120,Ngòi Bo,xã Mường Hoa và Bản Hồ Tx. Sa Pa tỉnh Lào Cai,,,,,,,,
Sử Pán 2,34.5,165,6/28/1905,7/4/1905,22.271888,103.942384,Ngòi Bo,xã Mường Hoa và Bản Hồ Tx. Sa Pa tỉnh Lào Cai,,,,,,,,
Bản Hồ,10,,6/1/2018,,22.262510,103.974544,Ngòi Bo,xã Bản Hồ Tx. Sa Pa tỉnh Lào Cai,,,,,,,,
Nậm Củn,40,,7/8/1905,7/10/1905,22.267279,103.982037,Ngòi Bo,xã Mường Bo Tx. Sa Pa tỉnh Lào Cai,,,,,,,,
Tà Thàng,60,242,7/1/1905,7/5/1905,22.298694,104.022117,Ngòi Bo,"xã Suối Thầu và Thanh Bình Tx. Sa Pa, và xã Gia Phú huyện Bảo Thắng tỉnh Lào 
Cai",,,,,,,,
Suối Chăn 1,27,,7/7/1905,7/10/1905,22.114483,104.207850,Suối Chăn,xã Làng Giàng huyện Văn Bàn tỉnh Lào Cai,,,,,,,,
Suối Chăn 2,14,,7/7/1905,7/9/1905,22.138429,104.218263,Suối Chăn,xã Nậm Rạng huyện Văn Bàn tỉnh Lào Cai[17],,,,,,,,
Minh Lương,28,103,7/8/1905,7/10/1905,22.045185,104.089225,Nậm Chăn,xã Thẩm Dương và Minh Lương huyện Văn Bàn tỉnh Lào Cai[18],,,,,,,,
Nậm Đông,21.4,97,6/26/1905,7/3/1905,21.58806,104.39806,Nậm Đông,xã Túc Đán huyện Trạm Tấu tỉnh Yên Bái[19],,,,,,,,
Ngòi Hút 2,48,209,7/2/1905,7/7/1905,21.793100,104.337627,Ngòi Hút,xã Nậm Có huyện Mù Cang Chải tỉnh Yên Bái,,,,,,,,
Cốc San,30,120,7/2/1905,7/8/1905,22.414439,103.906550,Ngòi Dum,"xã Trung Chải Tx. Sa Pa, Tòng Sành huyện Bát Xát, Cốc San Tp. Lào Cai, tỉnh Lào 
Cai",,,,,,,,
Ngòi Đường 1,5.5,,,7/4/1905,22.368803,103.960841,Ngòi Đường,xã Tả Phời Tp. Lào Cai tỉnh Lào Cai,,,,,,,,
Ngòi Đường 2,5,,6/28/1905,6/30/1905,22.393695,103.980804,Ngòi Đường,xã Tả Phời Tp. Lào Cai tỉnh Lào Cai,,,,,,,,
Ngòi Hút 1,8.4,36,6/29/1905,7/3/1905,21.807767,104.434650,Ngòi Hút,xã Phong Dụ Thượng huyện Văn Yên tỉnh Yên Bái,,,,,,,,
Ngòi Hút 2A,8.4,,7/7/1905,,21.773615,104.396062,Ngòi Hút,xã Nậm Có huyện Mù Cang Chải tỉnh Yên Bái,,,,,,,,
Nậm Khắt,7.5,33,7/8/1905,7/10/1905,22.064068,104.109286,Nậm Khắt,xã Thẩm Dương và Dần Thàng huyện Văn Bàn tỉnh Lào Cai[20],,,,,,,,
Nậm Khóa,18,,6/30/1905,7/3/1905,22.063446,103.978684,Nậm Khóa,xã Nậm Xé huyện Văn Bàn tỉnh Lào Cai,,,,,,,,
Ngòi Phát,72,314,6/29/1905,11/1/2014,22.554575,103.743353,Ngòi Phát,"xã Bản Vược, Cốc Mỳ và Bản Xèo huyện Bát Xát tỉnh Lào Cai",,,,,,,,
Mường Hum,32,121,6/30/1905,7/3/1905,22.540417,103.714172,Ngòi Phát,xã Bản Xèo và Dền Thàng huyện Bát Xát tỉnh Lào Cai,,,,,,,,
Nậm Pung,9.3,30,6/29/1905,7/1/1905,22.506894,103.690619,Ngòi Phát,"xã Nậm Pung và xã Mường Hum, huyện Bát Xát tỉnh Lào Cai",,,,,,,,
Tà Lơi 1,15,58,7/7/1905,,,,Tà Lơi,xã Trung Lèng Hồ huyện Bát Xát tỉnh Lào Cai,,,,,,,,
Tà Lơi 2,10.5,48,10/1/2012,7/1/2016,22.489292,103.665572,Tà Lơi,xã Trung Lèng Hồ và Mường Hum huyện Bát Xát tỉnh Lào Cai[21],,,,,,,,
Tà Lơi 3,7.5,30,3/1/2010,11/1/2012,22.506232,103.690628,Tà Lơi,xã Trung Lèng Hồ và Mường Hum huyện Bát Xát tỉnh Lào Cai[22],,,,,,,,
Pờ Hồ,13.2,52.1,1/1/2016,7/11/1905,22.451709,103.669721,Pờ Hồ,xã Trung Lèng Hồ và Mường Hum huyện Bát Xát tỉnh Lào Cai,,,,,,,,
Trạm Tấu,30,123,,7/10/1905,21.506081,104.450361,Ngòi Thia,xã Trạm Tấu huyện Trạm Tấu tỉnh Yên Bái,,,,,,,,
Văn Chấn,57,246.5,7/1/1905,7/5/1905,21.681923,104.550714,Ngòi Thia,xã Suối Quyền và An Lương huyện Văn Chấn tỉnh Yên Bái[23],,,,,,,,
Thác Cá 1,27,,4/1/2018,7/12/1905,21.700817,104.635428,Ngòi Thia,xã Mỏ Vàng huyện Văn Yên tỉnh Yên Bái,,,,,,,,
Thác Cá 2,14.5,,,,21.746642,104.644315,Ngòi Thia,xã Mỏ Vàng huyện Văn Yên tỉnh Yên Bái,,,,,,,,
Đồng Sung,20,68,1/1/2018,7/11/1905,21.821197,104.658155,Ngòi Thia,xã Yên Phú & Đại Phác huyện Văn Yên tỉnh Yên Bái[24],,,,,,,,
Nậm Toóng,30,151,6/29/1905,7/8/1905,22.224311,103.946321,Nậm Trung Hồ,xã Bản Hồ Tx. Sa Pa tỉnh Lào Cai,,,,,,,,
Séo Chong Hô,22,100,6/30/1905,7/5/1905,22.248083,103.896294,Séo Trung Hồ,xã Tả Van và Bản Hồ Tx. Sa Pa tỉnh Lào Cai,,,,,,,,
Ngòi Xan 1,10.5,42,6/27/1905,6/29/1905,22.473372,103.872908,Ngòi Xan,xã Phìn Ngan huyện Bát Xát tỉnh Lào Cai,,,,,,,,
Ngòi Xan 2,8,75,6/28/1905,6/30/1905,22.475372,103.859458,Ngòi Xan,xã Phìn Ngan huyện Bát Xát tỉnh Lào Cai,,,,,,,,
Sùng Vui,18,58,6/27/1905,7/4/1905,22.434439,103.821047,Ngòi Xan,xã Phìn Ngan huyện Bát Xát tỉnh Lào Cai,,,,,,,,
Nậm Xây Luông,15,,7/7/1905,7/9/1905,21.974600,104.088998,Nậm Xây Luông,xã Nậm Xây huyện Văn Bàn tỉnh Lào Cai,,,,,,,,
Nậm Xây Nọi,12,,7/7/1905,7/9/1905,21.962920,104.057042,Nậm Xây Nọi,xã Nậm Xây và Nậm Xé huyện Văn Bàn tỉnh Lào Cai,,,,,,,,
Nậm Ban (3 bậc),50,,7/6/1905,7/11/1905,22.401304,103.107693,Nậm Ban,xã Nậm Ban huyện Nậm Nhùn tỉnh Lai Châu,,,,,,,,
Nậm Bụm 1,16,56.8,11/1/2018,9/1/2020,22.404835,102.982097,Nậm Bum,xã Hua Bum huyện Nậm Nhùn tỉnh Lai Châu[25],,,,,,,,
Nậm Bụm 2,25,85.1,11/1/2019,7/13/1905,22.374033,102.856309,Nậm Bum,xã Hua Bum huyện Nậm Nhùn tỉnh Lai Châu[26],,,,,,,,
Nậm Cát,5,18,,7/1/1905,22.628568,103.290918,Nậm Cát,xã Hoang Thèn huyện Phong Thổ tỉnh Lai Châu,,,,,,,,
Nậm Cấu 1,10,,7/9/1905,,22.431570,102.798349,Nậm Cấu,xã Bum Tở huyện Mường Tè tỉnh Lai Châu,,,,,,,,
Nậm Cấu 2,10,33.4,7/9/1905,,22.394039,102.809521,Nậm Cấu,xã Bum Tở huyện Mường Tè tỉnh Lai Châu,,,,,,,,
Nậm Chiến 2,32,132,6/29/1905,7/1/1905,21.500128,104.090833,Nậm Chiến,xã Chiềng San huyện Mường La tỉnh Sơn La,,,,,,,,
Pá Chiến,22,82,7/4/1905,7/5/1905,21.476039,104.040272,Nậm Chiến,xã Chiềng San huyện Mường La tỉnh Sơn La,,,,,,,,
Nậm Chim 1,16,,6/28/1905,7/2/1905,21.342677,104.350098,Nậm Chim,huyện Bắc Yên tỉnh Sơn La[27],,,,,,,,
Nậm Chim 1A,10,,7/5/1905,7/7/1905,,,Nậm Chim,huyện Bắc Yên tỉnh Sơn La[28],,,,,,,,
Nậm Chim 1B,10,,7/8/1905,,,,Nậm Chim,huyện Bắc Yên tỉnh Sơn La,,,,,,,,
Nậm Chim 2,14,,7/5/1905,7/7/1905,21.316158,104.291768,Nậm Chim,xã Chim Vàn huyện Bắc Yên tỉnh Sơn La[29],,,,,,,,
Mường Mươn,22,,7/10/1905,,21.749166,103.039099,Nậm Chim,xã Ma Thì Hồ và Na Sang huyện Mường Chà tỉnh Điện Biên,,,,,,,,
Phi Lĩnh,16,,7/9/1905,7/12/1905,21.784984,102.951790,Nậm Chim,xã Si Pa Phìn huyện Nậm Pồ tỉnh Điện Biên,,,,,,,,
Nậm Củm 4,54,237,7/9/1905,7/11/1905,22.530978,102.596181,Nậm Củm,xã Mường Tè huyện Mường Tè tỉnh Lai Châu,,,,,,,,
Nậm Đích 1,18,61.6,7/10/1905,10/1/2020,22.236584,103.619826,Nậm Đích,xã Khun Há huyện Tam Đường tỉnh Lai Châu,,,,,,,,
