ten_thuy_dien,cong_xuat,san_luong,nam_khoi_cong,nam_hoat_dong,vi_do,kinh_do,tren_song,vi_tri_hanh_chinh,tinh_trang,qui_mo,loai,dung_tich,luu_vuc,chu_dau_tu,loai_hinh,von_dau_tu
Ia Grai 2,7.5,,,7/6/1905,13.975558,107.792806,Ia Grai,xã Ia Tô huyện Ia Grai tỉnh Gia Lai,,,,,,,,
Ia Grai 3,7.5,40,6/26/1905,6/29/1905,14.022164,107.649025,Ia Grai,xã Ia Kha huyện Ia Grai tỉnh Gia Lai,,,,,,,,
Yan Tann Sien,19.5,79,6/30/1905,7/2/1905,12.152644,108.378689,Đak Heur,xã Đưng K'Nớ huyện Lạc Dương tỉnh Lâm Đồng,,,,,,,,
Ia Krel 2,5.5,,7/1/1905,,13.788398,107.549434,Ia Krel,xã Ia Dom huyện Đức Cơ tỉnh Gia Lai,,,,,,,,
Đăk Đoa,14,56,6/29/1905,7/2/1905,14.184733,108.106353,Ia Krom,xã Đăk Sơ Mei và Đăk Krong huyện Đăk Đoa tỉnh Gia Lai,,,,,,,,
Hà Tây,9,38,5/1/2013,7/7/1905,14.240078,108.106299,Ia Krom (Đăk Pơ Tang),xã Hà Tây huyện Chư Păh tỉnh Gia Lai,,,,,,,,
Krông Kmar,12,60,6/27/1905,6/30/1905,12.451969,108.337206,Krông Kmar,Tt. Krông Kmar huyện Krông Bông tỉnh Đăk Lăk,,,,,,,,
Buôn Tua Srah,86,359,6/26/1905,7/1/1905,12.285192,108.038286,Krông Nô,"xã Nam Ka huyện Lắk tỉnh Đắk Lắk và xã Quảng Phú huyện Krông Nô tỉnh Đắk 
Nông",,,,,,,,
Krông Nô 2,30,106,7/2/1905,7/9/1905,12.253908,108.355733,Krông Nô,"xã Đưng K’Nớ huyện Lạc Dương tỉnh Lâm Đồng, và xã Bông Krang huyện Lắk tỉnh Đăk 
Lăk",,,,,,,,
Krông Nô 3,18,63.5,7/2/1905,7/8/1905,12.211661,108.284672,Krông Nô,"xã Đạ Tông huyện Đam Rông tỉnh Lâm Đồng, và xã Krông Nô huyện Lắk tỉnh Đăk 
Lăk",,,,,,,,
